gene_symbol	n_variants
CAMK1D	3
CAP1P1	3
CAPN7	3
CARMAL	3
CASC16	3
CASP3P1	3
CAV2-DT	3
CCDC110	3
CCDC125	3
CCDC66	3
CCDC90B-AS1	3
CCND3P2	3
CD6	3
CD70	3
CD80	3
CDC37	3
CDHR18P	3
CDHR3	3
CDK12	3
CDK5R2-AS1	3
CDK5RAP1	3
CEACAM1	3
CECR3	3
CENPV	3
CEP170B	3
CES1P2	3
CFL1P1	3
CHERP	3
CICP28	3
CICP4	3
CIDEC	3
CIMIP3	3
CKMT2-AS1	3
CLMP	3
CLPS	3
CMKLR2-AS	3
COASY	3
COG1	3
COL6A1	3
COMETT	3
COPB2-DT	3
COPS9	3
COQ10B	3
COX20	3
COX5A	3
CPLX3	3
CRYBB2P1	3
CRYM	3
CSF3	3
CSNK1D	3
CSNK1E	3
CSPG4	3
CSRP3-AS1	3
CXCL16	3
CYP1A2	3
CYP24A1	3
CYP2A6	3
DCTN1-AS1	3
DDI2	3
DDX59-AS1	3
DEGS1	3
DENND6A	3
DFFA	3
DIRAS1	3
DLGAP4-AS1	3
DLX2-DT	3
DNAH12	3
DNM1P49	3
DNMT3L	3
DOT1L	3
DPF2	3
DPH1	3
DPH6-DT	3
DPP4	3
DPP7	3
DSCR4	3
DSTYK	3
DTX2P1	3
DUBR	3
DUS1L	3
ECHDC3	3
EGF	3
EIF2AK3-AS1	3
ELFN2	3
ELOBP2	3
EMCN	3
EMILIN3	3
EMX2OS	3
ENDOG	3
ENPP7	3
EPB41L1	3
EPG5	3
EPHA1-AS1	3
EPRS1	3
EPS8L1	3
ERCC6L2	3
ERCC6L2-AS1	3
ERICH1	3
ERICH2-DT	3
ERVH48-1	3
ESRRAP2	3
ESYT2	3
ETNK1-DT	3
ETV6	3
EXOC7	3
FAM167A-AS1	3
FAM170B-AS1	3
FAM182A	3
FAM200A	3
FAM219B	3
FAM21EP	3
FAM3D-AS1	3
FAM41C	3
FAM86B3P	3
FANCA	3
FANCE	3
FBF1	3
FHL3	3
FIS1	3
FLJ40288	3
FN3K	3
FOS-AS1	3
FOXJ1	3
FOXN3	3
GAGE13	3
GALK1	3
GALM-AS1	3
GALNT7-DT	3
GARS1-DT	3
GCNT1	3
GDI2	3
GEMIN2	3
GINS2	3
GIPC1	3
GJC3	3
GLIDR	3
GMIP	3
GOLGA6D	3
GOLGA8F	3
GOLGA8K	3
GON7	3
GOT1L1	3
GPAT4-AS1	3
GPD1L	3
GPR32	3
GRAMD1C	3
GRB2	3
GREB1L-DT	3
GRIP1	3
GTF2IP4	3
GTF3A	3
GTPBP3	3
GYS1	3
H1-5	3
H3-3A-DT	3
HAUS6	3
HBZP1	3
HDAC2	3
HELB	3
HES2	3
HLA-B	3
HMGB3P24	3
HNRNPKP3	3
HPRT1	3
HS6ST3	3
HTR1D	3
HUS1B	3
HYPK	3
IGHG2	3
IGHV3-21	3
IGHV4-61	3
IGSF9B	3
IL15RA	3
