gene_symbol	n_variants
SLC45A4	77
SMCHD1	77
SPECC1	77
SPON1	77
STPG2	77
TMEM181	77
TP73	77
VPS41	77
ZNF28	77
ABI3BP	76
AHNAK	76
ATP11A	76
BRSK2	76
CASQ2	76
CATSPERE	76
CLIP1	76
COLEC12	76
DENND5A	76
DNAAF9	76
FAM27C	76
HLA-DQB2	76
IGHG3	76
KANK4	76
LINC00273	76
LINC01937	76
LINC02109	76
LINC02147	76
LINC02741	76
LINC02994	76
MAGI3	76
MAP3K13	76
MPHOSPH9	76
MYH3	76
NLRP12	76
PCGF3	76
PEX14	76
PIGL	76
PLXDC1	76
PRDM15	76
SKAP2	76
SPTLC3	76
TAF1B	76
TFDP2	76
TLL2	76
TMEM44	76
TNKS	76
TRIM2	76
TSPAN15	76
USO1	76
USP38-DT	76
ABCA7	75
ADAMTS14	75
ADGRA3	75
ANKRD33B	75
ARHGAP23	75
BIRC6	75
C3	75
CACNG2	75
CCDC148	75
COL27A1	75
CREBRF	75
DGKH	75
DNMBP	75
DOK7	75
DYNLRB2-AS1	75
EPHA5	75
ERG	75
FCHSD2	75
GMDS-DT	75
GRHL2	75
GSR	75
GUSBP1	75
HAS2-AS1	75
KCNIP1	75
LINC00243	75
LINC01611	75
LINC01885	75
LINC02987	75
LLGL2	75
LMNTD1	75
LRCH1	75
LRP6	75
MELK	75
NPSR1-AS1	75
PKHD1L1	75
PLCH1	75
POTEKP	75
PRPF8	75
PTPRJ	75
R3HDM2	75
RGSL1	75
SLC37A3	75
SLCO1A2	75
TAFA4	75
TMCC1	75
WNT5B	75
ABI1	74
AFF1	74
ARB2A	74
BPTF	74
BRF1	74
CADPS2	74
CNGB1	74
CNTN6	74
CPXM2	74
DEPDC5	74
DNMT3B	74
DUX4L34	74
DYNC1I1	74
ELF1	74
ELFN2	74
FSTL4	74
GLI3	74
GRB2	74
INO80	74
LINC01499	74
LINC01505	74
LYN	74
MAILR	74
MGMT	74
PCSK2	74
PHACTR2	74
RASSF3	74
RBM20	74
RPRD2	74
SLC4A10	74
SNX8	74
TLE1-DT	74
TLK1	74
TMEM163	74
UBE2F	74
WDR11	74
XYLB	74
ZNF346	74
ADAMTS20	73
ADAMTS9	73
ANO5	73
CDH20	73
CDIN1	73
CR1L	73
DGKG	73
DOCK4	73
DPYSL2	73
EEPD1	73
ERAP2	73
ERGIC1	73
FAR2	73
FBXL7	73
GCC2	73
GOLGA3	73
LINC01266	73
LINC02691	73
LINC02694	73
MEG8	73
NINJ2	73
PALM	73
PPM1L	73
PRICKLE1	73
PXDN	73
SFI1	73
SLC9B1P3	73
SNAP25-AS1	73
ST8SIA1	73
STARD9	73
SUGT1P3	73
TBC1D32	73
TCTN2	73
TEX11	73
TMEM131	73
TMTC1	73
TNNI3K	73
UBE2R2	73
ZMYND8	73
AATK	72
ANKFY1	72
ANKRD30B	72
BCAT1	72
CASC8	72
CDKL1	72
CHRNA7	72
CLNK	72
