sample_id	run_id	stage	elapsed_seconds	status	start_time	end_time
ERR10619225	run_2026_05_31_091242	stage_11_prioritize_variants	24	success	2026-05-31T13:59:02+00:00	2026-05-31T13:59:26+00:00
ERR10619225	run_2026_05_31_091242	stage_12_validate_variants	25	success	2026-05-31T13:59:31+00:00	2026-05-31T13:59:56+00:00
ERR10619225	run_2026_05_31_091242	stage_13_write_summary	0	success	2026-05-31T14:00:02+00:00	2026-05-31T14:00:02+00:00
ERR10619230	run_2026_06_01_004903	stage_01_load_data	0	success	2026-06-01T00:49:03+00:00	2026-06-01T00:49:03+00:00
ERR10619230	run_2026_06_01_004903	stage_02_align_data	5180	success	2026-06-01T00:49:03+00:00	2026-06-01T02:15:23+00:00
ERR10619230	run_2026_06_01_004903	stage_03_process_bam	251	success	2026-06-01T02:15:23+00:00	2026-06-01T02:19:34+00:00
ERR10619230	run_2026_06_01_004903	stage_04_qc_aligned_reads	43	success	2026-06-01T02:19:34+00:00	2026-06-01T02:20:17+00:00
ERR10619230	run_2026_06_01_004903	stage_05_call_variants	8906	success	2026-06-01T02:20:17+00:00	2026-06-01T04:48:43+00:00
ERR10619230	run_2026_06_01_004903	stage_06_normalize_vcf	17	success	2026-06-01T04:48:43+00:00	2026-06-01T04:49:00+00:00
ERR10619230	run_2026_06_01_004903	stage_07_annotate_variants	1054	success	2026-06-01T04:49:00+00:00	2026-06-01T05:06:34+00:00
ERR10619230	run_2026_06_01_004903	stage_08_filter_and_partition	84	success	2026-06-01T05:06:37+00:00	2026-06-01T05:08:01+00:00
ERR10619230	run_2026_06_01_004903	stage_09_interpret_coding	1	success	2026-06-01T05:08:11+00:00	2026-06-01T05:08:12+00:00
ERR10619230	run_2026_06_01_004903	stage_10_interpret_noncoding	26	success	2026-06-01T05:08:13+00:00	2026-06-01T05:08:39+00:00
ERR10619230	run_2026_06_01_004903	stage_11_prioritize_variants	22	success	2026-06-01T05:09:26+00:00	2026-06-01T05:09:48+00:00
ERR10619230	run_2026_06_01_004903	stage_12_validate_variants	23	success	2026-06-01T05:09:53+00:00	2026-06-01T05:10:16+00:00
ERR10619230	run_2026_06_01_004903	stage_13_write_summary	0	success	2026-06-01T05:10:21+00:00	2026-06-01T05:10:21+00:00
ERR10619241	run_2026_06_02_052302	stage_01_load_data	0	success	2026-06-02T05:23:02+00:00	2026-06-02T05:23:02+00:00
ERR10619241	run_2026_06_02_052302	stage_02_align_data	7516	success	2026-06-02T05:23:02+00:00	2026-06-02T07:28:18+00:00
ERR10619241	run_2026_06_02_052302	stage_03_process_bam	400	success	2026-06-02T07:28:18+00:00	2026-06-02T07:34:58+00:00
ERR10619241	run_2026_06_02_052302	stage_04_qc_aligned_reads	66	success	2026-06-02T07:34:58+00:00	2026-06-02T07:36:04+00:00
ERR10619241	run_2026_06_02_052302	stage_05_call_variants	12510	success	2026-06-02T07:36:04+00:00	2026-06-02T11:04:34+00:00
ERR10619241	run_2026_06_02_052302	stage_06_normalize_vcf	19	success	2026-06-02T11:04:35+00:00	2026-06-02T11:04:54+00:00
ERR10619241	run_2026_06_02_052302	stage_07_annotate_variants	1390	success	2026-06-02T11:04:54+00:00	2026-06-02T11:28:04+00:00
ERR10619241	run_2026_06_02_052302	stage_08_filter_and_partition	106	success	2026-06-02T11:28:07+00:00	2026-06-02T11:29:53+00:00
ERR10619241	run_2026_06_02_052302	stage_09_interpret_coding	1	success	2026-06-02T11:30:05+00:00	2026-06-02T11:30:06+00:00
ERR10619241	run_2026_06_02_052302	stage_10_interpret_noncoding	33	success	2026-06-02T11:30:08+00:00	2026-06-02T11:30:41+00:00
ERR10619241	run_2026_06_02_052302	stage_11_prioritize_variants	29	success	2026-06-02T11:31:45+00:00	2026-06-02T11:32:14+00:00
ERR10619241	run_2026_06_02_052302	stage_12_validate_variants	31	success	2026-06-02T11:32:20+00:00	2026-06-02T11:32:51+00:00
ERR10619241	run_2026_06_02_052302	stage_13_write_summary	0	success	2026-06-02T11:32:58+00:00	2026-06-02T11:32:58+00:00
ERR10619281	run_2026_05_27_233524	stage_01_load_data	0	success	2026-05-27T23:35:24+00:00	2026-05-27T23:35:24+00:00
ERR10619281	run_2026_05_27_233524	stage_02_align_data	6144	success	2026-05-27T23:35:24+00:00	2026-05-28T01:17:48+00:00
ERR10619281	run_2026_05_27_233524	stage_03_process_bam	298	success	2026-05-28T01:17:48+00:00	2026-05-28T01:22:46+00:00
ERR10619281	run_2026_05_27_233524	stage_04_qc_aligned_reads	50	success	2026-05-28T01:22:46+00:00	2026-05-28T01:23:36+00:00
ERR10619281	run_2026_05_27_233524	stage_05_call_variants	10389	success	2026-05-28T01:23:36+00:00	2026-05-28T04:16:45+00:00
ERR10619281	run_2026_05_27_233524	stage_06_normalize_vcf	18	success	2026-05-28T04:16:45+00:00	2026-05-28T04:17:03+00:00
ERR10619281	run_2026_05_27_233524	stage_07_annotate_variants	1225	success	2026-05-28T04:17:04+00:00	2026-05-28T04:37:29+00:00
ERR10619281	run_2026_05_27_233524	stage_08_filter_and_partition	100	success	2026-05-28T04:37:32+00:00	2026-05-28T04:39:12+00:00
ERR10619281	run_2026_05_27_233524	stage_09_interpret_coding	1	success	2026-05-28T04:39:23+00:00	2026-05-28T04:39:24+00:00
ERR10619281	run_2026_05_27_233524	stage_10_interpret_noncoding	29	success	2026-05-28T04:39:26+00:00	2026-05-28T04:39:55+00:00
ERR10619281	run_2026_05_27_233524	stage_11_prioritize_variants	26	success	2026-05-28T04:40:48+00:00	2026-05-28T04:41:14+00:00
ERR10619281	run_2026_05_27_233524	stage_12_validate_variants	26	success	2026-05-28T04:41:19+00:00	2026-05-28T04:41:45+00:00
ERR10619281	run_2026_05_27_233524	stage_13_write_summary	0	success	2026-05-28T04:41:51+00:00	2026-05-28T04:41:51+00:00
ERR10619285	run_2026_06_02_124300	stage_01_load_data	0	success	2026-06-02T12:43:00+00:00	2026-06-02T12:43:00+00:00
ERR10619285	run_2026_06_02_124300	stage_02_align_data	6246	success	2026-06-02T12:43:00+00:00	2026-06-02T14:27:06+00:00
ERR10619285	run_2026_06_02_124300	stage_03_process_bam	309	success	2026-06-02T14:27:06+00:00	2026-06-02T14:32:15+00:00
ERR10619285	run_2026_06_02_124300	stage_04_qc_aligned_reads	52	success	2026-06-02T14:32:15+00:00	2026-06-02T14:33:07+00:00
ERR10619285	run_2026_06_02_124300	stage_05_call_variants	10883	success	2026-06-02T14:33:07+00:00	2026-06-02T17:34:30+00:00
ERR10619285	run_2026_06_02_124300	stage_06_normalize_vcf	20	success	2026-06-02T17:34:30+00:00	2026-06-02T17:34:50+00:00
ERR10619285	run_2026_06_02_124300	stage_07_annotate_variants	1230	success	2026-06-02T17:34:50+00:00	2026-06-02T17:55:20+00:00
ERR10619285	run_2026_06_02_124300	stage_08_filter_and_partition	92	success	2026-06-02T17:55:23+00:00	2026-06-02T17:56:55+00:00
ERR10619285	run_2026_06_02_124300	stage_09_interpret_coding	1	success	2026-06-02T17:57:06+00:00	2026-06-02T17:57:07+00:00
ERR10619285	run_2026_06_02_124300	stage_10_interpret_noncoding	28	success	2026-06-02T17:57:09+00:00	2026-06-02T17:57:37+00:00
ERR10619285	run_2026_06_02_124300	stage_11_prioritize_variants	25	success	2026-06-02T17:58:30+00:00	2026-06-02T17:58:55+00:00
ERR10619285	run_2026_06_02_124300	stage_12_validate_variants	26	success	2026-06-02T17:59:00+00:00	2026-06-02T17:59:26+00:00
ERR10619285	run_2026_06_02_124300	stage_13_write_summary	0	success	2026-06-02T17:59:32+00:00	2026-06-02T17:59:32+00:00
ERR10619300	run_2026_05_27_172531	stage_01_load_data	0	success	2026-05-27T17:25:31+00:00	2026-05-27T17:25:31+00:00
ERR10619300	run_2026_05_27_172531	stage_02_align_data	5966	success	2026-05-27T17:25:31+00:00	2026-05-27T19:04:57+00:00
ERR10619300	run_2026_05_27_172531	stage_03_process_bam	298	success	2026-05-27T19:04:57+00:00	2026-05-27T19:09:55+00:00
ERR10619300	run_2026_05_27_172531	stage_04_qc_aligned_reads	52	success	2026-05-27T19:09:55+00:00	2026-05-27T19:10:47+00:00
ERR10619300	run_2026_05_27_172531	stage_05_call_variants	10293	success	2026-05-27T19:10:47+00:00	2026-05-27T22:02:20+00:00
ERR10619300	run_2026_05_27_172531	stage_06_normalize_vcf	17	success	2026-05-27T22:02:20+00:00	2026-05-27T22:02:37+00:00
ERR10619300	run_2026_05_27_172531	stage_07_annotate_variants	1112	success	2026-05-27T22:02:38+00:00	2026-05-27T22:21:10+00:00
ERR10619300	run_2026_05_27_172531	stage_08_filter_and_partition	85	success	2026-05-27T22:21:13+00:00	2026-05-27T22:22:38+00:00
ERR10619300	run_2026_05_27_172531	stage_09_interpret_coding	1	success	2026-05-27T22:22:48+00:00	2026-05-27T22:22:49+00:00
ERR10619300	run_2026_05_27_172531	stage_10_interpret_noncoding	27	success	2026-05-27T22:22:50+00:00	2026-05-27T22:23:17+00:00
ERR10619300	run_2026_05_27_172531	stage_11_prioritize_variants	24	success	2026-05-27T22:24:06+00:00	2026-05-27T22:24:30+00:00
ERR10619300	run_2026_05_27_172531	stage_12_validate_variants	24	success	2026-05-27T22:24:35+00:00	2026-05-27T22:24:59+00:00
ERR10619300	run_2026_05_27_172531	stage_13_write_summary	0	success	2026-05-27T22:25:04+00:00	2026-05-27T22:25:04+00:00
ERR10619309	run_2026_06_02_181024	stage_01_load_data	0	success	2026-06-02T18:10:24+00:00	2026-06-02T18:10:24+00:00
ERR10619309	run_2026_06_02_181024	stage_02_align_data	7868	success	2026-06-02T18:10:24+00:00	2026-06-02T20:21:32+00:00
ERR10619309	run_2026_06_02_181024	stage_03_process_bam	409	success	2026-06-02T20:21:32+00:00	2026-06-02T20:28:21+00:00
ERR10619309	run_2026_06_02_181024	stage_04_qc_aligned_reads	63	success	2026-06-02T20:28:21+00:00	2026-06-02T20:29:24+00:00
ERR10619309	run_2026_06_02_181024	stage_05_call_variants	12522	success	2026-06-02T20:29:24+00:00	2026-06-02T23:58:06+00:00
ERR10619309	run_2026_06_02_181024	stage_06_normalize_vcf	19	success	2026-06-02T23:58:07+00:00	2026-06-02T23:58:26+00:00
