SRA	run_id	depth_category	artifact_group	artifact_name	source_path	destination_path	operation	status	rows_written	notes
ERR10619281	run_2026_05_27_233524	median	overlay_tiered_gene_output	ERR10619281_tier3_unique_genes_mito_epi_overlay.tsv	results/run_2026_05_27_233524/logs/stage12_exploration/unique_genes/ERR10619281_tier3_unique_genes_mito_epi_overlay.tsv	docs/case_studies/cross_runs/contrasts/contrast_04_inputs/ERR10619281/sql_outputs/overlay_tiered_gene_outputs/ERR10619281_tier3_unique_genes_mito_epi_overlay.tsv	copy	ok	974	copied without renaming or content modification
ERR10619285	run_2026_06_02_124300	median	directory	figures		docs/case_studies/cross_runs/contrasts/contrast_04_inputs/ERR10619285/figures	mkdir	ok	NA	directory ensured
ERR10619285	run_2026_06_02_124300	median	directory	tables		docs/case_studies/cross_runs/contrasts/contrast_04_inputs/ERR10619285/tables	mkdir	ok	NA	directory ensured
ERR10619285	run_2026_06_02_124300	median	directory	overlay_tiered_gene_outputs		docs/case_studies/cross_runs/contrasts/contrast_04_inputs/ERR10619285/sql_outputs/overlay_tiered_gene_outputs	mkdir	ok	NA	directory ensured
ERR10619285	run_2026_06_02_124300	median	figure	ERR10619285_f5_interoperability_substrates.png	results/run_2026_06_02_124300/figures/ERR10619285_f5_interoperability_substrates.png	docs/case_studies/cross_runs/contrasts/contrast_04_inputs/ERR10619285/figures/ERR10619285_f5_interoperability_substrates.png	copy	ok	NA	copied actual VAP pluralized F5 filename
ERR10619285	run_2026_06_02_124300	median	table	gene_list_overlay_intersections.tsv	docs/case_studies/cross_runs/cross_run_tables/gene_list_overlay_intersections.tsv	docs/case_studies/cross_runs/contrasts/contrast_04_inputs/ERR10619285/tables/gene_list_overlay_intersections.tsv	subset	ok	1140	subset by exact run_id
ERR10619285	run_2026_06_02_124300	median	table	overlay_gene_coding_clinical_evidence.tsv	docs/case_studies/cross_runs/cross_run_tables/overlay_gene_coding_clinical_evidence.tsv	docs/case_studies/cross_runs/contrasts/contrast_04_inputs/ERR10619285/tables/overlay_gene_coding_clinical_evidence.tsv	subset	ok	501	subset by exact run_id
ERR10619285	run_2026_06_02_124300	median	overlay_tiered_gene_output	ERR10619285_tier1_unique_genes_mito_epi_overlay.tsv	results/run_2026_06_02_124300/logs/stage12_exploration/unique_genes/ERR10619285_tier1_unique_genes_mito_epi_overlay.tsv	docs/case_studies/cross_runs/contrasts/contrast_04_inputs/ERR10619285/sql_outputs/overlay_tiered_gene_outputs/ERR10619285_tier1_unique_genes_mito_epi_overlay.tsv	copy	ok	1	copied without renaming or content modification
ERR10619285	run_2026_06_02_124300	median	overlay_tiered_gene_output	ERR10619285_tier2_unique_genes_mito_epi_overlay.tsv	results/run_2026_06_02_124300/logs/stage12_exploration/unique_genes/ERR10619285_tier2_unique_genes_mito_epi_overlay.tsv	docs/case_studies/cross_runs/contrasts/contrast_04_inputs/ERR10619285/sql_outputs/overlay_tiered_gene_outputs/ERR10619285_tier2_unique_genes_mito_epi_overlay.tsv	copy	ok	49	copied without renaming or content modification
ERR10619285	run_2026_06_02_124300	median	overlay_tiered_gene_output	ERR10619285_tier3_unique_genes_mito_epi_overlay.tsv	results/run_2026_06_02_124300/logs/stage12_exploration/unique_genes/ERR10619285_tier3_unique_genes_mito_epi_overlay.tsv	docs/case_studies/cross_runs/contrasts/contrast_04_inputs/ERR10619285/sql_outputs/overlay_tiered_gene_outputs/ERR10619285_tier3_unique_genes_mito_epi_overlay.tsv	copy	ok	928	copied without renaming or content modification
ERR10619300	run_2026_05_27_172531	median	directory	figures		docs/case_studies/cross_runs/contrasts/contrast_04_inputs/ERR10619300/figures	mkdir	ok	NA	directory ensured
ERR10619300	run_2026_05_27_172531	median	directory	tables		docs/case_studies/cross_runs/contrasts/contrast_04_inputs/ERR10619300/tables	mkdir	ok	NA	directory ensured
ERR10619300	run_2026_05_27_172531	median	directory	overlay_tiered_gene_outputs		docs/case_studies/cross_runs/contrasts/contrast_04_inputs/ERR10619300/sql_outputs/overlay_tiered_gene_outputs	mkdir	ok	NA	directory ensured
