sample_id	run_id	assay_type	run_classification	gene_id	gene_symbol	gene_burden_rank	variant_count	overlay_source	overlay_source_count	overlay_source_list	mitocarta_hit	epi25_hit	match_key
ERR10619241	run_2026_06_02_052302	WES	full_pipeline	ENSG00000130349	MTRES1	836	0	mitocarta	1	mitocarta	True	False	ensembl_gene_id
ERR10619241	run_2026_06_02_052302	WES	full_pipeline	ENSG00000120662	MTRF1	347	1	mitocarta	1	mitocarta	True	False	ensembl_gene_id
ERR10619241	run_2026_06_02_052302	WES	full_pipeline	ENSG00000112031	MTRF1L	158	2	mitocarta	1	mitocarta	True	False	ensembl_gene_id
ERR10619241	run_2026_06_02_052302	WES	full_pipeline	ENSG00000173171	MTX1	348	1	mitocarta	1	mitocarta	True	False	ensembl_gene_id
ERR10619241	run_2026_06_02_052302	WES	full_pipeline	ENSG00000128654	MTX2	837	0	mitocarta	1	mitocarta	True	False	ensembl_gene_id
ERR10619241	run_2026_06_02_052302	WES	full_pipeline	ENSG00000177034	MTX3	838	0	mitocarta	1	mitocarta	True	False	ensembl_gene_id
ERR10619241	run_2026_06_02_052302	WES	full_pipeline	ENSG00000090432	MUL1	839	0	mitocarta	1	mitocarta	True	False	ensembl_gene_id
ERR10619241	run_2026_06_02_052302	WES	full_pipeline	ENSG00000132781	MUTYH	840	0	mitocarta	1	mitocarta	True	False	ensembl_gene_id
ERR10619241	run_2026_06_02_052302	WES	full_pipeline	ENSG00000139637	MYG1	31	4	mitocarta	1	mitocarta	True	False	ensembl_gene_id
ERR10619241	run_2026_06_02_052302	WES	full_pipeline	ENSG00000278259|ENSG00000278372	MYO19	841	0	mitocarta	1	mitocarta	True	False	ensembl_gene_id
ERR10619241	run_2026_06_02_052302	WES	full_pipeline	ENSG00000152620	NADK2	842	0	mitocarta	1	mitocarta	True	False	ensembl_gene_id
ERR10619241	run_2026_06_02_052302	WES	full_pipeline	ENSG00000161653	NAGS	843	0	mitocarta	1	mitocarta	True	False	ensembl_gene_id
ERR10619241	run_2026_06_02_052302	WES	full_pipeline	ENSG00000137513	NARS2	349	1	mitocarta	1	mitocarta	True	False	ensembl_gene_id
ERR10619241	run_2026_06_02_052302	WES	full_pipeline	ENSG00000185818	NAT8L	844	0	mitocarta	1	mitocarta	True	False	ensembl_gene_id
ERR10619241	run_2026_06_02_052302	WES	full_pipeline	ENSG00000213995	NAXD	350	1	mitocarta	1	mitocarta	True	False	ensembl_gene_id
ERR10619241	run_2026_06_02_052302	WES	full_pipeline	ENSG00000163382	NAXE	66	3	mitocarta	1	mitocarta	True	False	ensembl_gene_id
ERR10619241	run_2026_06_02_052302	WES	full_pipeline	ENSG00000188554	NBR1	351	1	mitocarta	1	mitocarta	True	False	ensembl_gene_id
ERR10619241	run_2026_06_02_052302	WES	full_pipeline	ENSG00000125356	NDUFA1	845	0	mitocarta	1	mitocarta	True	False	ensembl_gene_id
ERR10619241	run_2026_06_02_052302	WES	full_pipeline	ENSG00000130414	NDUFA10	846	0	mitocarta	1	mitocarta	True	False	ensembl_gene_id
ERR10619241	run_2026_06_02_052302	WES	full_pipeline	ENSG00000174886	NDUFA11	847	0	mitocarta	1	mitocarta	True	False	ensembl_gene_id
ERR10619241	run_2026_06_02_052302	WES	full_pipeline	ENSG00000184752	NDUFA12	848	0	mitocarta	1	mitocarta	True	False	ensembl_gene_id
ERR10619241	run_2026_06_02_052302	WES	full_pipeline	ENSG00000186010	NDUFA13	849	0	mitocarta	1	mitocarta	True	False	ensembl_gene_id
ERR10619241	run_2026_06_02_052302	WES	full_pipeline	ENSG00000131495	NDUFA2	850	0	mitocarta	1	mitocarta	True	False	ensembl_gene_id
ERR10619241	run_2026_06_02_052302	WES	full_pipeline	ENSG00000170906|ENSG00000273642|ENSG00000274359|ENSG00000275605|ENSG00000275724|ENSG00000276061|ENSG00000276220|ENSG00000276766|ENSG00000277722|ENSG00000278365	NDUFA3	851	0	mitocarta	1	mitocarta	True	False	ensembl_gene_id
ERR10619241	run_2026_06_02_052302	WES	full_pipeline	ENSG00000189043	NDUFA4	852	0	mitocarta	1	mitocarta	True	False	ensembl_gene_id
ERR10619241	run_2026_06_02_052302	WES	full_pipeline	ENSG00000128609	NDUFA5	853	0	mitocarta	1	mitocarta	True	False	ensembl_gene_id
ERR10619241	run_2026_06_02_052302	WES	full_pipeline	ENSG00000184983|ENSG00000272765|ENSG00000273397|ENSG00000277365|ENSG00000281013	NDUFA6	854	0	mitocarta	1	mitocarta	True	False	ensembl_gene_id
ERR10619241	run_2026_06_02_052302	WES	full_pipeline	ENSG00000267855	NDUFA7	855	0	mitocarta	1	mitocarta	True	False	ensembl_gene_id
ERR10619241	run_2026_06_02_052302	WES	full_pipeline	ENSG00000119421	NDUFA8	856	0	mitocarta	1	mitocarta	True	False	ensembl_gene_id
ERR10619241	run_2026_06_02_052302	WES	full_pipeline	ENSG00000139180	NDUFA9	857	0	mitocarta	1	mitocarta	True	False	ensembl_gene_id
ERR10619241	run_2026_06_02_052302	WES	full_pipeline	ENSG00000004779	NDUFAB1	858	0	mitocarta	1	mitocarta	True	False	ensembl_gene_id
ERR10619241	run_2026_06_02_052302	WES	full_pipeline	ENSG00000137806	NDUFAF1	67	3	mitocarta	1	mitocarta	True	False	ensembl_gene_id
ERR10619241	run_2026_06_02_052302	WES	full_pipeline	ENSG00000164182	NDUFAF2	352	1	mitocarta	1	mitocarta	True	False	ensembl_gene_id
ERR10619241	run_2026_06_02_052302	WES	full_pipeline	ENSG00000178057	NDUFAF3	859	0	mitocarta	1	mitocarta	True	False	ensembl_gene_id
ERR10619241	run_2026_06_02_052302	WES	full_pipeline	ENSG00000123545	NDUFAF4	353	1	mitocarta	1	mitocarta	True	False	ensembl_gene_id
ERR10619241	run_2026_06_02_052302	WES	full_pipeline	ENSG00000101247	NDUFAF5	860	0	mitocarta	1	mitocarta	True	False	ensembl_gene_id
